Event_ID,Fight_ID,Date,B_ID,B_Name,B_HomeTown,B_Location,B_Age,B_Weight,R_ID,R_Name,R_HomeTown,R_Location,R_Age,R_Weight,WinningColor,Winby
859,7054,2/19/18,2756,Thibault Gouti,Toulouse France,Albuquerque New Mexico,31.0,70.0,2628,Sage Northcutt,"Houston, Texas United States","Katy, Texas United States",22.0,77.0,red,DEC
859,7055,2/19/18,2753,Marcin Tybura,Uniejow Poland,Uniejow Poland,32.0,113.0,2082,Derrick Lewis,"New Orleans, Louisiana United States","Houston, Texas United States",33.0,118.0,red,KO/TKO
859,7070,2/19/18,2842,Brian Camozzi,"Alameda, California  United States","Englewood, California United States",27.0,77.0,2963,Geoff Neal,"Austin, Texas United States","Dallas, Texas United States",28.0,77.0,red,SUB
859,7071,2/19/18,2311,Joby Sanchez,"Albuquerque, New Mexico United States","Alburquerque, New Mexico United States",27.0,56.0,2956,Roberto Sanchez,"Houston, Texas United States ","Houston, Texas United States ",32.0,56.0,red,SUB
859,7072,2/19/18,2879,Lucie Pudilova,Pribram Czech Republic,Pribram Czech Republic ,24.0,61.0,2240,Sarah Moras,"Kelowna, British Columbia Canada","Kelowna, British Columbia Canada",30.0,61.0,blue,DEC
859,7093,2/19/18,1997,Francisco Trinaldo,"Amarante, Piaui Brazil","Brasilia, Distrito Federal Brazil",40.0,70.0,1984,James Vick,"Olney, Texas United States","Fort Worth, Texas United States",31.0,70.0,red,DEC
859,7094,2/19/18,2208,Diego Ferreira,"Careiro da Várzea, Amazonas Brazil","Pharr, Texas USA",33.0,70.0,2890,Jared Gordon,"New York City, New York United States","Astoria, New York United States",30.0,70.0,blue,KO/TKO
859,7100,2/19/18,2944,Brandon Davis,"Atlanta , Georgia United States","D'Iberville, Mississippi United States",28.0,65.0,2985,Steven Peterson,"Los Angeles, California United States","Dallas, Texas United States",28.0,65.0,blue,DEC
859,7104,2/19/18,2419,Curtis Millender,"San Bernardino, California United States","Fullerton, California United States",30.0,77.0,511,Thiago Alves,Fortaleza Brazil,"Coconut Creek, Florida United States",35.0,77.0,blue,KO/TKO
859,7129,2/19/18,2737,Alex Morono,"Houston, Texas United States","Houston, Texas United States",28.0,77.0,407,Joshua Burkman,"Salt Lake City, Utah United States","Draper, Utah United States",38.0,77.0,blue,SUB
859,7138,2/19/18,2943,Tim Williams,"Millville, New Jersey United States","Millville, New Jersey United States",32.0,84.0,2992,Oskar Piechota,Gdansk Poland,Gdynia Poland,28.0,84.0,red,KO/TKO
860,7048,2/24/18,2291,Alan Jouban,"Lafayette, Louisiana United States","Los Angeles, California United States",36.0,77.0,502,Ben Saunders,"Fort Lauderdale, Florida United States","Orlando, Florida United States",35.0,77.0,blue,KO/TKO
860,7063,2/25/18,2340,Tecia Torres,"Fall River, Massachusetts United States","Colorado Springs, Colorado United States",29.0,52.0,2079,Jessica Andrade,"Umuarama, Parana Brazil","Niteroi, Rio de Janeiro Brazil",27.0,52.0,red,DEC
860,7083,6/6/18,2805,Max Griffin,"Santa Barbara, California United States","Sacramento, California United States",32.0,77.0,2813,Mike Perry,"Flint, Michigan United States","Orlando, Florida United States",27.0,77.0,blue,DEC
860,7084,2/25/18,2895,Brian Kelleher,"Oceanside, New York United States","Selden, New York United States",32.0,61.0,1527,Renan Barao,Natal Brazil,Rio de Janeiro Brazil,31.0,61.0,blue,DEC
860,7085,6/7/18,3045,Marcin Prachnio,Warsaw Poland,Warsaw Poland,30.0,93.0,2264,Sam Alvey,"Milwaukee, Wisconsin United States","Temecula, California United States",32.0,93.0,red,KO/TKO
860,7089,7/7/18,2376,Marion Reneau,"Tulare, California United States","Visalia, California United States",41.0,61.0,2022,Sara McMann,"Takoma Park, Maryland United States","Sacramento, California United States",38.0,61.0,blue,SUB
860,7099,6/6/18,2060,Ilir Latifi,Malmo Sweden,Malmo Sweden,35.0,93.0,1499,Ovince Saint Preux,"Immokalee, Florida United States","Knoxville, Tennessee United States",35.0,93.0,blue,SUB
860,7102,2/24/18,2164,Russell Doane,"Honolulu, Hawaii United States","Honolulu, Hawaii United States",32.0,61.0,1044,Rani Yahya,Brasilia Brazil,Brasilia Brazil,34.0,61.0,red,SUB
860,7109,2/25/18,2352,Angela Hill,"Clinton, Maryland United States","San Diego, California United States",33.0,52.0,2465,Maryna Moroz,Volnogorsk Ukraine,Volnogorsk Ukraine,27.0,52.0,blue,DEC
860,7121,2/25/18,2969,Alex Perez,"Hanford, California United States ","Lemoore, California United States ",26.0,56.0,2859,Eric Shelton,"Lawton, Oklahoma  United States ","Davenport, Iowa United States ",27.0,56.0,blue,DEC
860,7127,2/24/18,3057,Manny Bermudez,"Boston, Massachusetts United States","Norwell, Massachusetts United States",24.0,61.0,2405,Albert Morales,"Granada Hills, California United States","Reseda, California United States",27.0,61.0,blue,SUB
861,7035,3/19/18,668,Peter Sobotta,Zabrze Poland,"Au, Balingen Germany",31.0,77.0,2329,Leon Edwards,Kingston Jamaica,Birmingham England,27.0,77.0,red,KO/TKO
861,7036,3/19/18,2850,Dmitry Sosnovskiy,Yalta USSR,Moscow Russia,29.0,109.0,2827,Mark Godbeer,Taunton  England,Bridgewater England,34.0,109.0,blue,SUB
861,7037,3/19/18,3046,Magomed Ankalaev,Dagestan Russia,Makhachkala Russia,26.0,93.0,2834,Paul Craig,Airdrie Scotland,Coatbridge Scotland,30.0,93.0,red,SUB
861,7086,3/19/18,2231,Kajan Johnson,"Burns Lake, British Columbia Canada","Vancouver, British Columbia Canada",34.0,70.0,2502,Stevie Ray,Fife Scotland,Fife Scotland,28.0,70.0,blue,DEC
861,7088,3/27/18,2300,Jan Blachowicz,Cieszyn Poland,Warsaw Poland,35.0,93.0,2009,Jimi Manuwa,"Sacramento, California United States",London England,38.0,93.0,blue,DEC
861,7111,3/19/18,2897,Oliver Enkamp,Stockholm Sweden,Stockholm Sweden,27.0,77.0,2656,Danny Roberts,London England,"Boca Raton, Florida United States",31.0,77.0,red,KO/TKO
861,7112,3/19/18,3056,Hakeem Dawodu,"Calgary, Alberta Canada","Calgary, Alberta Canada",27.0,65.0,2952,Danny Henry,Endinburgh Scotland ,Edinburgh Scotland,30.0,65.0,red,SUB
861,7120,3/27/18,2492,Alexander Volkov,"Shellharbour, NSW Australia","Windang, NSW Australia",30.0,65.0,308,Fabricio Werdum,Porto Alegre Brazil,"Los Angeles, California United States",41.0,104.0,blue,KO/TKO
861,7142,3/19/18,2913,Charles Byrd,"Pine Bluff, Arkansas United States","Dallas, Texas United States",34.0,84.0,2853,John Phillips,Swansea Wales,Dublin Ireland,33.0,84.0,blue,SUB
