Event_ID,B_Name,R_Name,winner,winby,Fight_ID
667,Daron Cruickshank,Erik Koch,blue,KO/TKO,4763
667,Lorenz Larkin,Costas Philippou,red,KO/TKO,4766
667,Erick Silva,Matt Brown,red,KO/TKO,4769
667,Tim Means,Neil Magny,red,DEC,4776
667,Albert Tumenov,Anthony Lapsley,blue,KO/TKO,4777
668,Piotr Hallmann,Yves Edwards,blue,SUB,4767
668,Rustam Khabilov,Benson Henderson,red,SUB,4778
668,Lance Benoist,Bobby Voelker,blue,DEC,4780
668,John Moraga,John Dodson,red,KO/TKO,4788
668,Sergio Pettis,Yaotzin Meza,blue,DEC,4789
668,Roger Narvaez,Patrick Cummins,red,KO/TKO,4805
668,Ross Pearson,Diego Sanchez,red,DEC,4810
668,Danny Martinez,Scott Jorgensen,red,DEC,4826
668,Jason High,Rafael dos Anjos,red,KO/TKO,4836
668,Jake Lindsey,Jon Tuck,red,KO/TKO,4838
669,Josh Shockley,Jason Saggo,red,KO/TKO,4770
669,Kiichi Kunimoto,Daniel Sarafian,blue,SUB,4781
669,Mike Easton,Yves Jabouin,red,DEC,4794
669,Michinori Tanaka,Roland Delorme,blue,DEC,4795
669,Tyron Woodley,Rory MacDonald,red,DEC,4808
669,Ali Bagautinov,Demetrious Johnson,red,DEC,4809
669,Tae Hyun Bang,Kajan Johnson,blue,KO/TKO,4818
669,Rafael Feijao,Ryan Bader,red,DEC,4827
669,Brendan Schaub,Andrei Arlovski,red,DEC,4832
669,Elizabeth Phillips,Valerie Letourneau,red,DEC,4839
669,Ryan Jimmo,Ovince Saint Preux,red,SUB,4847
670,Nico Musoke,Kelvin Gastelum,red,DEC,4754
670,Anthony Hamilton,Aleksei Oleinik,red,SUB,4757
670,Carlos Diego Ferreira,Colton Smith,blue,SUB,4786
670,Andy Enz,Marcelo Guimaraes,red,DEC,4804
670,Cody Gibson,Johnny Bedford,blue,KO/TKO,4822
670,Andrew Craig,Cezar Ferreira,red,DEC,4828
670,Antonio Braga Neto,Clint Hester,red,DEC,4829
670,James Moontasri,Joe Ellenberger,red,DEC,4834
670,Hacran Dias,Ricardo Lamas,red,DEC,4848
670,Shane Howell,Ray Borg,red,SUB,4853
671,BJ Penn,Frankie Edgar,red,KO/TKO,4784
671,Kevin Lee,Jesse Ronson,blue,DEC,4845
671,Dustin Ortiz,Justin Scoggins,blue,DEC,4854
671,Guto Inocente,Derrick Lewis,red,KO/TKO,4858
671,Alexis Dufresne,Sarah Moras,red,DEC,4866
671,Leandro Issa,Jumabieke Tuerxun,blue,SUB,4915
671,Juan Puig,Adriano Martins,red,KO/TKO,4916
671,Keith Berish,Robert Drysdale,no contest,SUB,4917
671,Matt Van Buren,Corey Anderson,red,KO/TKO,4926
671,Daniel Spohn,Patrick Walsh,red,DEC,4932
672,Niklas Backstrom,Tom Niinimaki,blue,SUB,4694
672,Drew Dober,Nick Hein,red,DEC,4727
672,Maximo Blanco,Andy Ogle,blue,DEC,4736
672,Gegard Mousasi,Mark Munoz,blue,SUB,4785
672,Sean Strickland,Luke Barnatt,blue,DEC,4787
672,Pawel Pawlak,Peter Sobotta,red,DEC,4790
672,Krzysztof Jotko,Magnus Cedenblad,red,SUB,4793
672,CB Dollaway,Francis Carmont,blue,DEC,4797
672,Iuri Alcantara,Vaughan Lee,blue,KO/TKO,4823
672,Ruslan Magomedov,Viktor Pesta,blue,DEC,4824
673,Lyoto Machida,Chris Weidman,red,DEC,4703
673,Thiago Santos,Uriah Hall,red,DEC,4803
673,Alexis Davis,Ronda Rousey,red,KO/TKO,4815
673,Bruno Santos,Chris Camozzi,blue,DEC,4831
673,Ildemar Alcantara,Kenny Robertson,red,DEC,4849
673,Guilherme Vasconcelos,Luke Zachrich,red,DEC,4865
673,Russell Doane,Marcus Brimage,blue,DEC,4907
673,Rob Font,George Roop,blue,KO/TKO,4908
673,Bubba Bush,Kevin Casey,no contest,KO/TKO,4909
674,Nate Marquardt,James Te Huna,blue,SUB,4807
674,Charles Oliveira,Hatsu Hioki,blue,SUB,4860
674,Sean O'Connell,Gian Villante,red,DEC,4861
674,Mike Rhodes,Robert Whittaker,red,DEC,4862
674,Vik Grujic,Chris Indich,blue,KO/TKO,4863
674,Jared Rosholt,Soa Palelei,blue,DEC,4867
674,Rodrigo de Lima,Neil Magny,red,KO/TKO,4871
674,Ian Entwistle,Dan Hooker,red,KO/TKO,4888
674,Roldan Sangcha-an,Richie Vaculik,red,DEC,4889
674,Dashon Johnson,Jake Matthews,red,SUB,4890
675,Zak Cummings,Gunnar Nelson,red,SUB,4835
675,Diego Brandao,Conor McGregor,red,KO/TKO,4840
675,Ian McCall,Brad Pickett,blue,DEC,4841
675,Chris Dempsey,Ilir Latifi,red,KO/TKO,4842
675,Nikita Krylov,Cody Donovan,blue,KO/TKO,4843
675,Phil Harris,Neil Seery,red,DEC,4844
675,Naoyuki Kotani,Norman Parke,red,KO/TKO,4887
675,Mike King,Cathal Pendred,red,SUB,4910
675,Josh Sampo,Patrick Holohan,red,SUB,4928
676,Leslie Smith,Jessamyn Duke,blue,KO/TKO,4837
676,Jim Miller,Donald Cerrone,red,KO/TKO,4846
676,Alptekin Ozkilic,John Lineker,red,KO/TKO,4850
676,Leonardo Mafra,Rick Story,red,SUB,4851
676,Pat Healy,Gleison Tibau,red,DEC,4855
676,Evan Dunham,Edson Barboza,red,KO/TKO,4877
676,Joe Proctor,Justin Salas,blue,KO/TKO,4878
676,Aljamain Sterling,Hugo Viana,blue,KO/TKO,4911
676,Jerrod Sanders,Yosdenis Cedeno,red,KO/TKO,4914
676,Alex White,Lucas Martins,red,KO/TKO,4919
676,Tina Lahdemaki,Claudia Gadelha,red,DEC,4920
677,Joe Soto,T.J. Dillashaw,red,KO/TKO,4852
677,Danny Castillo,Tony Ferguson,red,DEC,4894
677,Derek Brunson,Lorenz Larkin,blue,DEC,4933
677,Anthony Hamilton,Ruan Potts,blue,KO/TKO,4942
677,Diego Ferreira,Ramsey Nijem,blue,KO/TKO,4950
677,Damon Jackson,Yancy Medeiros,red,SUB,4956
677,Cain Carrizosa,Chris Wade,red,SUB,5009
678,Patrick Cummins,Kyle Kingsbury,blue,DEC,4833
678,Rogerio Nogueira,Anthony Johnson,red,KO/TKO,4869
678,Bobby Green,Josh Thomson,blue,DEC,4870
678,Dennis Bermudez,Clay Guida,blue,SUB,4873
678,Tim Means,Hernani Perpetuo,blue,DEC,4874
678,Gilbert Burns,Andreas Stahl,blue,DEC,4875
678,Matt Brown,Robbie Lawler,red,DEC,4883
678,Jorge Masvidal,Daron Cruickshank,blue,DEC,4884
678,Brian Ortega,Mike de la Torre,no contest,SUB,4895
678,Joanna Jedrzejczyk,Juliana Lima,blue,DEC,4929
678,Noad Lahat,Steven Siler,blue,DEC,4940
679,Cung Le,Michael Bisping,red,KO/TKO,4885
679,Dong Hyun Kim,Tyron Woodley,red,KO/TKO,4886
679,Jianping Yang,Ning Guangyou,red,DEC,4913
679,Brendan O'Reilly,Lipeng Zhang,red,DEC,4963
679,Danny Mitchell,Sai Wang,red,DEC,4964
679,Shinsho Anzai,Alberto Mina,red,KO/TKO,4965
679,Yuta Sasaki,Roland Delorme,blue,SUB,4966
679,Colby Covington,An Ying Wang,blue,SUB,4967
679,Milana Dudieva,Elizabeth Phillips,blue,DEC,4968
679,Royston Wee,Yao Zhikui,blue,DEC,4969
680,Roy Nelson,Mark Hunt,red,KO/TKO,4830
680,Rin Nakai,Miesha Tate,red,DEC,4924
680,Jon Delos Reyes,Kyoji Horiguchi,red,KO/TKO,4925
680,Takanori Gomi,Myles Jury,red,KO/TKO,4997
680,Amir Sadollah,Yoshihiro Akiyama,red,DEC,4998
680,Masanori Kanehara,Alex Caceres,blue,DEC,4999
680,Richard Walsh,Kiichi Kunimoto,red,DEC,5000
680,Takenori Sato,Hyun Gyu Lim,red,KO/TKO,5002
680,Kyung Ho Kang,Michinori Tanaka,blue,DEC,5003
680,Johnny Case,Kazuki Tokudome,blue,SUB,5004
680,Dan Hooker,Maximo Blanco,red,DEC,5005
681,Zach Makovsky,Jussier Formiga,red,DEC,4859
681,Alan Jouban,Seth Baczynski,blue,KO/TKO,4876
681,Jack May,Shawn Jordan,red,KO/TKO,4896
681,Brad Tavares,Tim Boetsch,red,KO/TKO,4897
681,Sam Alvey,Tom Watson,red,DEC,4902
681,Ovince Saint Preux,Ryan Bader,red,DEC,4905
681,Robert Peralta,Thiago Tavares,red,SUB,4921
681,Ross Pearson,Gray Maynard,blue,KO/TKO,4935
681,Lauren Murphy,Sara McMann,red,DEC,4957
681,Frankie Saenz,Nolan Ticman,blue,DEC,4991
682,Joby Sanchez,Wilson Reis,red,DEC,4898
682,Jordan Mein,Mike Pyle,blue,KO/TKO,4899
682,Tom Niinimaki,Chas Skelly,red,SUB,4900
682,Rafael dos Anjos,Benson Henderson,blue,KO/TKO,4903
682,Clay Collard,Max Holloway,red,KO/TKO,4922
682,Matt Hobar,Aaron Phillips,blue,DEC,4923
682,Thales Leites,Francis Carmont,blue,KO/TKO,4931
682,Valmir Lazaro,James Vick,red,DEC,4934
682,Alex Garcia,Neil Magny,red,DEC,4953
682,Chris Heatherly,Ben Saunders,red,SUB,4996
683,Michael Chiesa,Joe Lauzon,red,KO/TKO,4904
683,Gegard Mousasi,Jacare Souza,red,SUB,4912
683,Chas Skelly,Sean Soriano,blue,DEC,4918
683,Ben Rothwell,Alistair Overeem,blue,KO/TKO,4936
683,Derrick Lewis,Matt Mitrione,red,KO/TKO,4937
683,Tateki Matsuda,Chris Beal,red,DEC,4943
683,Chris Camozzi,Rafael Natal,red,DEC,4944
683,Rodrigo Damm,Al Iaquinta,red,KO/TKO,4945
683,Justin Scoggins,John Moraga,red,SUB,4986
684,Takeya Mizugaki,Dominick Cruz,red,KO/TKO,4891
684,Amanda Nunes,Cat Zingano,red,KO/TKO,4939
684,Brian Ebersole,John Howard,blue,DEC,4951
684,Stephen Thompson,Patrick Cote,blue,DEC,4952
684,Chris Cariaso,Demetrious Johnson,red,SUB,4955
684,Conor McGregor,Dustin Poirier,blue,KO/TKO,4959
684,Kevin Lee,Jon Tuck,blue,DEC,4982
684,James Krause,Jorge Masvidal,red,DEC,4983
684,Cody Gibson,Manvel Gamburyan,red,SUB,4988
684,Eddie Alvarez,Donald Cerrone,red,DEC,5008
685,Efrain Escudero,Leonardo Santos,red,,4946
685,Wendell Oliveira,Santiago Ponzinibbio,red,KO/TKO,4947
685,Sean Spencer,Paulo Thiago,blue,DEC,4948
685,George Sullivan,Igor Araujo,blue,KO/TKO,4949
685,Larissa Pacheco,Jessica Andrade,red,SUB,4954
685,Andrei Arlovski,Bigfoot Silva,blue,KO/TKO,4958
